epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.28009259700775146,9.999999747378752e-05,1.7805373668670654,0.44907405972480774,1.405650019645691
1,0.40046295523643494,9.999999747378752e-05,1.4833611249923706,0.5648148059844971,1.1702021360397339
2,0.4652777910232544,9.999999747378752e-05,1.327849268913269,0.5879629850387573,1.0801775455474854
3,0.5474537014961243,9.999999747378752e-05,1.1285226345062256,0.6527777910232544,0.9682815074920654
4,0.5914351940155029,9.999999747378752e-05,1.054689645767212,0.6712962985038757,0.9035364985466003
5,0.6342592835426331,9.999999747378752e-05,0.9978442192077637,0.7083333134651184,0.8569434881210327
6,0.6481481194496155,9.999999747378752e-05,0.9291589260101318,0.7037037014961243,0.8196231722831726
7,0.6516203880310059,9.999999747378752e-05,0.8822567462921143,0.7268518805503845,0.7948914766311646
8,0.6828703880310059,9.999999747378752e-05,0.8554924726486206,0.7222222089767456,0.7624168395996094
9,0.6909722089767456,9.999999747378752e-05,0.798199474811554,0.7453703880310059,0.74039226770401
10,0.7314814925193787,9.999999747378752e-05,0.7323397397994995,0.7592592835426331,0.7137141227722168
11,0.7199074029922485,9.999999747378752e-05,0.7211487889289856,0.7777777910232544,0.7019012570381165
12,0.7314814925193787,9.999999747378752e-05,0.7101902365684509,0.7870370149612427,0.6931269764900208
13,0.7592592835426331,9.999999747378752e-05,0.6571153998374939,0.7870370149612427,0.6842262744903564
14,0.7708333134651184,9.999999747378752e-05,0.6345264315605164,0.7824074029922485,0.6888280510902405
